Portfolio / Property Name,Street Address,City,State,Country,Zip Code,Sector,Subsector,Sector Attribute,Part of Mixed Use Development,Market,Submarket,Size,Size Type,Sale Date,Stake Sold,Local Currency Sale Price (M),Local Currency Symbol,Sale Price Per (in Local Currency),Selected Currency Sale Price ($) (M),Submarket Grade,Property Cap Rate,Property Cap Rate Type,Part of a Portfolio?,Buyer Objective,To be demolished,Buyer Broker,Seller Broker,Land Area (acres),Stories,Parking,Buildings,Year Built,Year Renovated,Occupancy,Green Street Market Cap Rate,Submarket Cap Rate,Zip Code Cap Rate,Lender,1st Mortgage,Verified?,Buyer_1,Buyer_2,Buyer_3,Buyer_4,Seller_1,Seller_2,Seller_3,Seller_4,id_lt_x,propertykey_id,statuspriceadjustedusd_amt_cpiNOTadj,price_cpiNOTadj,propertykey_id_typeadj,propertytype_adj,propertyname_raw,status_dt,intconveyed_nb,intconveyed,address,buyername1,buyername2,buyername3,buyername4,sellername1,sellername2,sellername3,sellername4,zip_cd,psf/ppu,sqft_nb_OG,units_OG,id_lt_y,score
2640 Greenwich Street,"2640 Greenwich Street, San Francisco, CA 94123",San Francisco,CA,United States,94123,Apartment,,Mid-Rise,No,San Francisco,Marina / Pacific Heights,17,Units,4/30/19,1,10.52,$,"618,529.41",,A+,0.03372578,Green Street Market Estimate,No,,No,,JLL,,4,0,,,,,0.05230056,0.04804952,0.04804952,,,Yes,Ballast Investments,,,,,,,,2,1393387,10515000,10515000,142798,Apartment,2640 Greenwich Street,4/29/19,1,,2640 Greenwich St,BALLAST INVESTMENT,,,,ROSENBLATT FAMILIES,,,,94123,618529.4118,14112,17,15018,0.9999999
87 Chrystie Street,"87 Chrystie Street, New York, NY 10002",New York,NY,United States,10002,Apartment,,Mid-Rise,No,New York,Lower East Side,10,Units,4/30/19,1,5.5,$,"550,000.00",,B+,0.04074735,Green Street Market Estimate,No,,No,,Avison Young,0.0436,6,0,1,,,,0.05266024,0.05543289,0.05543289,,,Yes,,,,,,,,,3,220953,5500000,5500000,65410,Apartment,87 Chrystie Street,5/3/19,1,,87 Chrystie St,OKADA AND,,,,CITIRICH REALTY,,,,10002,500000,10716,11,5523,0.99999994
102 Bayard Street,"102 Bayard Street, New York, NY 10013",New York,NY,United States,10013,Apartment,,Mid-Rise,No,New York,Financial District,18,Units,4/30/19,1,5.5,$,"305,555.56",,A+,0.03255926,Green Street Market Estimate,No,,No,,Avison Young,0.0574,5,0,1,,,,0.05266024,0.04856478,0.04774965,,,Yes,,,,,,,,,4,853348,5500000,5500000,105045,Apartment,102 Bayard Street,5/3/19,1,,102 Bayard St,TANG BROTHER HOLDING,,,,LUKIE LUKE REALTY,,,,10013,289473.6842,9125,19,9616,1.0000001
Marconi Oaks,"4629 Marconi Avenue, Sacramento, CA 95821",Sacramento,CA,United States,95821,Apartment,,Garden / Low-Rise,No,Sacramento,Marconi Ave,44,Units,4/30/19,1,5.38,$,"122,159.09",,B,0.05067632,Green Street Market Estimate,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,1.77,2,0,1,,,,0.06004974,0.06123073,0.06123073,,,Yes,,,,,,,,,5,1393885,5375000,5375000,142858,Apartment,Marconi Oaks Apartments,4/30/19,1,,4629 Marconi Ave,GROUP MANAGEMENT,,,,SPARTAN ENTERPRISES,,,,95821,122159.0909,38858,44,15071,0.85647845
1231 South Bundy Drive,"1231 South Bundy Drive, Los Angeles, CA 90025",Los Angeles,CA,United States,90025,Apartment,,Garden / Low-Rise,No,Los Angeles,Westwood / Brentwood,16,Units,4/30/19,1,6.7,$,"418,750.00",,A+,0.03302159,Green Street Market Estimate,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,,2,0,,,,,0.05754025,0.05149741,0.05279233,,,Yes,,,,,,,,,7,1353471,6700000,6700000,138084,Apartment,1231 South Bundy Drive,4/30/19,1,,1231 S Bundy Dr,BLACKSTONE,,,,ABADY HOLDING,,,,90025,418750,13907,16,13283,1.0000001
303 East Alameda Avenue,"303 East Alameda Avenue, Burbank, CA 91502",Burbank,CA,United States,91502,Apartment,,Garden / Low-Rise,No,Los Angeles,Burbank / Glendale,20,Units,4/30/19,1,8,$,"400,000.00",,A-,0.043,As Reported,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,0.3174,2,0,1,,,,0.05754025,0.05595589,0.0553069,,,Yes,,,,,,,,,8,1264147,5049882.2,5049882.2,127922,Apartment,303 East Alameda Avenue,4/30/19,1,,303 E Alameda Ave,CAPITAL WEST MANAGEMENT,,,,PACIFIC URBAN,,,,91502,252494.11,17572,20,12212,1.0000002
Marconi Village,"5536 Marconi Avenue, Carmichael, CA 95608",Carmichael,CA,United States,95608,Apartment,,Garden / Low-Rise,No,Sacramento,Carmichael,69,Units,4/30/19,1,8.65,$,"125,362.32",,B,0.05067632,Green Street Market Estimate,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,2.63,2,0,1,,,,0.06004974,0.06123073,0.06123073,,,Yes,,,,,,,,,9,1393881,8650000,8650000,142856,Apartment,Marconi Village Apartments,4/30/19,1,,5536 Marconi Ave,GROUP MANAGEMENT,,,,SPARTAN ENTERPRISES,,,,95608,125362.3188,49923,69,15070,0.9067587
Loma Linda,"5545 Marconi Avenue, Carmichael, CA 95608",Carmichael,CA,United States,95608,Apartment,,Garden / Low-Rise,No,Sacramento,Carmichael,80,Units,4/30/19,1,9.74,$,"121,750.00",,B,0.05067632,Green Street Market Estimate,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,3.76,2,0,1,,,,0.06004974,0.06123073,0.06123073,,,Yes,,,,,,,,,10,1407203,9740000,9740000,143751,Apartment,Loma Linda Apartments,4/30/19,1,,5545 Marconi Ave,SQUARED TRUST,,,,MK III HOLDING,,,,95608,121750,72441,80,15915,0.8530295
Woodland Oak,"4201 49th Street North, St. Petersburg, FL 33709",St. Petersburg,FL,United States,33709,Apartment,,Garden / Low-Rise,No,Tampa-St. Petersburg,Pinellas Park / Seminole,90,Units,4/30/19,1,10.73,$,"119,166.67",,B+,0.07,As Reported,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,3.1906,2,0,7,1983,2018,0.99,0.0607635,0.06446547,0.06630238,,,Yes,,,,,,,,,11,203077,9180000,9180000,59983,Apartment,Woodland Oaks,4/3/19,1,,724 Cottonwood St,LEFEVER MATTSON,,,,THOMAS AZZALINA JR AND ROBIN L AZZALINA TRUST SANDY T LUI SHERMAN S LUK,,,,95695,114750,62112,80,5093,0.9189898
Fillmore Crossing,"3125 Sinton Road, Colorado Springs, CO 80907",Colorado Springs,CO,United States,80907,Apartment,,Garden / Low-Rise,No,Colorado Springs,,189,Units,4/30/19,1,10.73,$,"56,746.03",,,0.065,As Reported,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,,2,0,,1972,2018,0.84,,,,,,Yes,,,,,,,,,12,122708,10725000,10725000,36125,Apartment,Fillmore Crossing,4/30/19,1,,3125 Sinton Rd,FILLMORE PARTNERS,,,,FILLMORE CROSSING,,,,80907,56746.0317,103223,189,2985,1.0000004
Marconi Gardens East,"4808 Marconi Avenue, Carmichael, CA 95608",Carmichael,CA,United States,95608,Apartment,,Garden / Low-Rise,No,Sacramento,Carmichael,177,Units,4/30/19,1,21.38,$,"120,765.54",,B,0.05067632,Green Street Market Estimate,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,8,2,0,1,,,,0.06004974,0.06123073,0.06123073,,,Yes,,,,,,,,,13,562791,21375500,21375500,87156,Apartment,Marconi Gardens East,4/30/19,1,,4808 Marconi Ave,GROUP MANAGEMENT,,,,MARCONI GARDENS EAST,,,,95608,120765.5367,161684,177,7645,0.9999995
833 Lexington Avenue,"833 Lexington Avenue, New York, NY 10065",New York,NY,United States,10065,Apartment,,Mid-Rise,Yes,New York,Upper East Side,6,Units,4/30/19,1,7.95,$,"1,325,000.00",,A+,,,No,,No,,Cushman & Wakefield,,5,0,,,,,0.05266024,0.04899053,0.04707581,,,Yes,Beekman Estate,,,,,,,,14,1394476,7950000,7950000,142914,Retail,833 Lexington Avenue,4/30/19,1,,833 Lexington Ave,THE BEEKMAN ESTATE,,,,SBP MEDIA,,,,10065,1406.5817,5652,,15121,0.99999934
Orchard Estates,"101 Roxboro Circle, Syracuse, NY 13211",Syracuse,NY,United States,13211,Apartment,,Garden / Low-Rise,No,Syracuse,,301,Units,4/30/19,1,15.5,$,"51,495.02",,,,,No,,No,,Cushman & Wakefield,,2,0,,,,,,,,,,Yes,,,,,,,,,16,585842,15500000,15500000,89873,Apartment,Orchard Estates,4/23/19,1,,125 Roxboro Cir,VINTAGE MANAGEMENT,,,,MORGAN MANAGEMENT,,,,13211,51666.6667,,300,7976,1.0000004
Crossings at Summerland,"13701 Keelingwood Circle, Woodbridge, VA 22191",Woodbridge,VA,United States,22191,Apartment,,Mid-Rise,No,D.C. Metro,Woodbridge,126,Units,4/30/19,1,22.2,$,"176,190.48",,B,0.04933753,Green Street Market Estimate,No,,No,,Newmark Group,,4,0,,2003,,,0.05817774,0.06268372,0.06450952,,,Yes,,,,,,,,,17,963735,22200000,22200000,110924,Apartment,The Crossings at Summerland,4/1/19,1,,13701 Keelingwood Cir,BRAD MARTINSON,,,,FRANKLIN JOHNSTON GROUP,,,,22191,176190.4762,122850,126,10432,0.9777539
18414 Collins Street,"18414 Collins Street, Los Angeles, CA 91356",Los Angeles,CA,United States,91356,Apartment,,Garden / Low-Rise,No,Los Angeles,Woodland Hills / Encino,45,Units,4/30/19,1,8.5,$,"188,888.89",,A,0.03488978,Green Street Market Estimate,No,,No,,Colliers,1.0009,2,0,1,,,,0.05754025,0.0540398,0.0553069,,,Yes,Empire USA,,,,,,,,21,830592,8500000,8500000,102709,Apartment,18414 Collins Street,4/30/19,1,,18414 Collins St,EMPIRE USA,,,,SMITH FAMILIES TRUST,,,,91356,207317.0732,27262,41,9363,1.0000007
Terra Creek,"4900 Central Drive, Stone Mountain, GA 30083",Stone Mountain,GA,United States,30083,Apartment,,Garden / Low-Rise,No,Atlanta,North DeKalb,196,Units,4/30/19,1,10.37,$,"52,892.86",,B+,0.05985167,Green Street Market Estimate,No,,No,,Berkadia,15.7,2,0,26,,,,0.05534022,0.05401746,0.06399963,,,Yes,,,,,,,,,22,163715,10367000,10367000,48141,Apartment,Terra Creek Apartments,4/30/19,1,,4900 Central Dr,ADAR AT GOLDEN GATE,,,,MSC INVESTMENT,,,,30083,53994.7917,207800,192,4025,0.89519644
Cumberland Court,"2452 Chamblee Tucker Road, Chamblee, GA 30341",Chamblee,GA,United States,30341,Apartment,,Garden / Low-Rise,No,Atlanta,Northeast,180,Units,4/30/19,1,16.2,$,"90,000.00",,A-,0.0497357,Green Street Market Estimate,No,,No,,Berkadia,17,2,0,24,,,,0.05534022,0.05127108,0.05466299,,,Yes,,,,,,,,,23,1405652,16200000,16200000,143546,Apartment,Cumberland Court,4/30/19,1,,2452 Chamblee Tucker Rd,CC ACQUISITION,,,,CUMBERLAND COURT APARTMENTS,MCFARLAND MANAGEMENT,,,30341,90000,,180,15715,1
Solano,"8800 North Interstate Highway 35, Austin, TX 78753",Austin,TX,United States,78753,Apartment,,Garden / Low-Rise,No,Austin,Far North Central,504,Units,4/30/19,1,45.95,$,"91,170.63",,A-,0.05182194,Green Street Market Estimate,No,,No,,CBRE Group,,2,0,,,,,0.05280435,0.0570839,0.05880491,,,Yes,Keller Capital,,,,,,,,27,222060,47908000,47908000,65757,Apartment,Solano,4/30/19,1,,8800 N I-35,KELLER CAPITAL,,,,AVESTA,,,,78753,95055.5556,315888,504,5553,1
Residence at Midland,"5801 Deauville Boulevard, Midland, TX 79706",Midland,TX,United States,79706,Apartment,,Garden / Low-Rise,No,"Midland, TX",,290,Units,4/30/19,1,66.5,$,"229,310.34",,,0.06600779,Annualized,No,,No,,Newmark Group,,3,0,,2014,,0.91,,,,,,Yes,Orion Residential,,,,,,,,29,1380063,67530000,67530000,141249,Apartment,Residence At Midland,4/25/19,1,,5801 Deauville Blvd,ORION RESIDENTIAL,,,,REAL CAPITAL SOLUTIONS,,,,79706,232862.069,323537,290,13702,1.0000005
North Park at Eagle's Landing,"250 Evergreen Terrace, Stockbridge, GA 30281",Stockbridge,GA,United States,30281,Apartment,,Garden / Low-Rise,No,Atlanta,Clayton / Henry,224,Units,4/30/19,1,28,$,"125,000.00",,C+,0.05940896,Green Street Market Estimate,No,,No,,Cushman & Wakefield,26.03,3,0,9,,,,0.05534022,0.06239398,0.06399963,,,Yes,Independence Realty Trust,,,,Hamilton Point Investments,,,,30,900491,28000000,28000000,108301,Apartment,North Park at Eagles Landing,4/30/19,1,,250 Evergreen Ter,INDEPENDENCE REALTY TRUST,,,,HAMILTON POINT INVESTMENT,,,,30281,125000,216545,224,9969,0.9512594
Laurel Glen,"574 Button Avenue, Manteca, CA 95336",Manteca,CA,United States,95336,Apartment,,Garden / Low-Rise,No,Stockton,,152,Units,4/30/19,1,34.8,$,"228,947.37",,,,,No,,No,,Marcus & Millichap IPA,,2,0,,,,,,,,,,Yes,Tilden Properties,,,,JCM Properties,,,,32,577835,34800000,34800000,88795,Apartment,Laurel Glen,4/30/19,1,,574 Button Ave,TILDEN PROPERTIES,,,,JCM PARTNERS,,,,95336,228947.3684,116464,152,7797,0.99999976
975 Burnett Avenue,"975 Burnett Avenue, San Francisco, CA 94131",San Francisco,CA,United States,94131,Apartment,,Mid-Rise,No,San Francisco,West,18,Units,4/29/19,1,6.6,$,"366,666.67",,A,0.03617785,Green Street Market Estimate,No,,No,,Colliers,0.1971,4,0,1,,,,0.05230056,0.05061861,0.04990146,,,Yes,Ballast Investments,,,,,,,,46,1394659,6600000,6600000,142937,Apartment,975 Burnett Avenue,4/29/19,1,,975 Burnett Ave,BALLAST INVESTMENT,,,,TERRY L JARVI,,,,94131,366666.6667,16967,18,15143,1.0000006
Hickory Creek,"2344 Hickory Creek Drive, Richmond, VA 23294",Richmond,VA,United States,23294,Apartment,,,No,Richmond,Innsbrook / West End,294,Units,4/29/19,1,45.6,$,"155,102.04",,B+,0.05743989,Green Street Market Estimate,No,,No,,Colliers,,,0,,,,,0.06412311,0.06077887,0.06552878,,,Yes,Capital Square 1031,,,,Artemis Real Estate Partners, McCann Realty Partners,,,52,96279,45600000,45600000,28229,Apartment,Hickory Creek ,4/23/19,1,,2344 Hickory Creek Dr,CAPITAL SQUARE 1031,,,,MCCANN REALTY PARTNERS,ARTEMIS REAL ESTATE PARTNERS,,,23294,155102.0408,274008,294,2357,1.0000005
Cambridge Oxford,"32 High Street, New Haven, CT 06511",New Haven,CT,United States,6511,Apartment,,Mid-Rise,No,New Haven,,85,Units,4/29/19,1,25.15,$,"295,882.35",,,,,No,,No,,Marcus & Millichap IPA,,6,0,,,,,,,,,,Yes,Paredim Partners,,,,East River Partners,,,,53,1236855,25150000,25150000,124784,Apartment,Cambridge Oxford,4/29/19,1,,32 High St,PAREDIM PARTNERS,,,,EAST RIVER PARTNERS,,,,6510,299404.7619,,84,11925,0.99999934
554 Fourth Avenue,"554 4th Avenue, Brooklyn, NY 11215",Brooklyn,NY,United States,11215,Apartment,,High-Rise,Yes,New York,Park Slope,40,Units,4/29/19,1,29.6,$,"740,000.00",,A+,0.03255926,Green Street Market Estimate,No,,No,,,,11,0,,,,,0.05266024,0.04789049,0.04707581,,,Yes,Spruce Capital Partners,,,,Brookland Capital,,,,54,1390894,29600000,29600000,142525,Apartment,544 Fourth Avenue,4/22/19,1,residential bulk condo,544 4th Ave,SPRUCE CAPITAL PARTNERS,,,,BROOKLAND CAPITAL,,,,11215,740000,,40,14776,0.88950366
242 Tenth Avenue,"242 10th Avenue, New York, NY 10001",New York,NY,United States,10001,Apartment,,Mid-Rise,No,New York,Midtown West,6,Units,4/26/19,1,7.6,$,"1,266,666.67",,A,0.04074735,Green Street Market Estimate,No,,No,,JLL,,4,0,,,,,0.05266024,0.04904983,0.05543289,,,Yes,,,,,,,,,55,1393970,7600000,7600000,142871,Retail,242 10th Avenue,4/23/19,1,,242 10th Ave,GREENWICH VILLAGE CAPITAL,,,,CHELSEA 327,,,,10001,1324.5033,5738,,15081,0.9395016
131 Elm Street,"131 Elm Street, San Mateo, CA 94401",San Mateo,CA,United States,94401,Apartment,,Garden / Low-Rise,No,San Francisco,San Mateo,20,Units,4/26/19,1,11.5,$,"575,000.00",,A+,0.04203625,Green Street Market Estimate,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,0.3099,2,0,1,,,,0.05230056,0.04873407,0.05242426,,,Yes,,,,,,,,,56,1280821,11500000,11500000,130453,Apartment,131 Elm Street,4/26/19,1,,131 Elm St,GUIDO AND LETIZIA FRESCHET1986 TRUST,,,,MICHAEL KELLY,,,,94401,575000,17369,20,12446,1.0000002
West Town Court,"8400 West Virginia Avenue, Phoenix, AZ 85037",Phoenix,AZ,United States,85037,Apartment,,Garden / Low-Rise,No,Phoenix,West Valley,274,Units,4/26/19,1,42,$,"153,284.67",,B+,0.047,As Reported,No,,No,,CBRE Group,16.0318,2,0,40,,,0.92,0.05236236,0.05427752,0.05697936,,,Yes,Goodman Real Estate,,,,InterCapital Group,,,,57,652395,42000000,42000000,92979,Apartment,West Town Court,4/26/19,1,,8400 W Virginia Ave,GOODMAN REAL ESTATE,,,,INTERCAPITAL,CITYMARK CAPITAL,,,85037,153284.6715,307623,274,8278,1.0000004
Prairie Pines at the Ridge,"3401 Harvest Hills Avenue, Williston, ND 58801",Williston,ND,United States,58801,Apartment,,Garden / Low-Rise,No,Other,,330,Units,4/26/19,1,32.15,$,"97,424.24",,,,,No,,No,,CBRE Group,,3,0,,,,,,,,,,Yes,Weidner Apartment Homes,,,,,,,,60,1152129,32150000,32150000,112112,Apartment,Prairie Pines at the Ridge Apartments,4/26/19,1,,3401 Harvest Hills Ave,WEIDNER APT HOMES,,,,KKR,CONTINUUM PARTNERS,,,58801,97424.2424,327348,330,10755,0.912092
Bristol Square,"1720 John West Road, Dallas, TX 75228",Dallas,TX,United States,75228,Apartment,,Garden / Low-Rise,No,Dallas / Fort Worth,South White Rock / I-30,341,Units,4/26/19,1,26.2,$,"76,832.84",,B+,0.05612164,Green Street Market Estimate,No,,No,,JLL,,3,0,,,,,0.05603406,0.05847198,0.06122478,,,Yes,WindMass Capital,,,,McGuire Family Properties,,,,61,64767,25575000,25575000,18683,Apartment,Bristol Square Apartments,4/26/19,1,,1720 John West Rd,WINDMASS CAPITAL,,,,MCGUIRE FAMILIES,,,,75228,75000,235191,341,1549,0.88199055
2474 Valentine Avenue,"2474 Valentine Avenue, Bronx, NY 10458",Bronx,NY,United States,10458,Apartment,,Mid-Rise,No,New York,Bronx County,54,Units,4/25/19,1,9.6,$,"177,777.78",,B-,,,No,,No,,Rosewood Realty Group,0.3104,0,0,1,,,,0.05266024,0.05995696,0.05883195,,,Yes,,,,,,,,,69,100640,9600000,9600000,29524,Apartment,2474 Valentine Avenue,5/8/19,1,,2474 Valentine Ave,2474 VALENTINE,,,,MORGAN GROUP,,,,10458,177777.7778,44590,54,2470,1
Fairways at Hartland,"850 Wilkinson Trace, Bowling Green, KY 42103",Bowling Green,KY,United States,42103,Apartment,,Garden / Low-Rise,No,"Elizabethtown-Fort Knox, KY",,240,Units,4/25/19,1,24.6,$,"102,500.00",,,0.06231914,Trailing 12 months,No,,No,,Cushman & Wakefield,,3,0,,1996,,0.89,,,,,,Yes,Covenant Capital Group,,,,McDowell Properties,,,,70,503987,24600000,24600000,82099,Apartment,Fairways at Hartland,4/25/19,1,,850 Wilkinson Trace,COVENANT CAPITAL GROUP,,,,ANGELO GORDON,MCDOWELL PROPERTIES,,,42103,102500,251040,240,7099,0.99999946
Georgetown of Kettering,"4889 Far Hills Avenue, Dayton, OH 45429",Dayton,OH,United States,45429,Apartment,,Garden / Low-Rise,No,Dayton,,325,Units,4/25/19,1,20.1,$,"61,846.15",,,,,No,,No,,Berkadia,,2,0,,1965,,,,,,,,Yes,Monarch Investment & Management Group,,,,,,,,71,784054,20100000,20100000,98875,Apartment,Georgetown of Kettering,4/25/19,1,,4889 Far Hills Ave,NRES MANAGEMENT,,,,APOLLO PROPERTIES MANAGEMENT,,,,45429,61846.1538,336000,325,8960,0.9999998
Arbors At Hickory Creek,"4791 Hickory Creek Drive, Richton Park, IL 60471",Richton Park,IL,United States,60471,Apartment,,Garden / Low-Rise,No,Chicago,South Cook County,176,Units,4/25/19,1,11.45,$,"65,056.82",,C+,0.05863959,Green Street Market Estimate,No,,No,,CBRE Group,,2,0,,,,,0.06305658,0.07079557,0.07179841,,,Yes,Peak Capital Partners,,,,,,,,72,1393131,11450000,11450000,142770,Apartment,The Arbors at Hickory Creek,4/25/19,1,,4791 Hickory Creek Dr,PEAK CAPITAL PARTNERS,,,,THE MICHAELS ORG,,,,60471,65056.8182,175544,176,14994,0.9771523
Connection at Lawrence,"3100 Ousdahl Road, Lawrence, KS 66046",Lawrence,KS,United States,66046,Apartment,,Garden / Low-Rise,No,"Lawrence, KS",,324,Units,4/24/19,1,42.75,$,"131,944.44",,,0.07139848,Annualized,No,,No,,Cushman & Wakefield,,3,0,,2009,,0.94,,,,,,Yes,,,,,Crow Holdings,,,,79,574539,42750000,42750000,88550,Apartment,The Connection at Lawrence,4/23/19,1,,3100 Ousdahl Rd,UNIVERSITY PARTNERS,,,,CROW HOLDING,,,,66046,131944.4444,374161,324,7780,0.9665091
Patterson Place,"420 East Main Avenue, Bismarck, ND 58501",Bismarck,ND,United States,58501,Apartment,,High-Rise,No,"Bismarck, ND",,117,Units,4/23/19,1,7.45,$,"63,675.21",,,,,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,,11,0,,,,,,,,,,Yes,,,,,,,,,81,1407207,7450000,7450000,143754,Apartment,Patterson Place,4/23/19,1,,420 E Main Ave,PATTERSON PLACE,,,,MCKENZIE HOTEL ASSOC,,,,58501,63675.2137,,117,15918,1.0000004
Magnolia Square,"601 West 54th Street, Savannah, GA 31405",Savannah,GA,United States,31405,Apartment,,Garden / Low-Rise,No,Savannah,,92,Units,4/23/19,1,6.3,$,"68,478.26",,,,,No,,No,,Colliers,,2,0,,,,,,,,,,Yes,Sureste Partners,,,,Island Estate Group,,,,83,427464,6300000,6300000,76471,Apartment,Magnolia Square,4/19/19,1,,601 W 54th St,DUNROSS CAPITAL,,,,ISLAND ESTATE GROUP,,,,31405,68478.2609,83010,92,6482,1.0000002
Pike Motorworks,"715 East Pine Street, Seattle, WA 98122",Seattle,WA,United States,98122,Apartment,,Mid-Rise,No,Seattle,Central,260,Units,4/23/19,1,128.5,$,"494,230.77",,A-,0.04,As Reported,No,,No,,CBRE Group,1,5,0,1,,,0.93,0.05582391,0.05560715,0.05575266,,,Yes,TA Realty,,,,Wolff Co.,,,,85,201593,128386566.7,128386566.7,59576,Apartment,Pike Motorworks,4/1/19,1,,714 E Pike St,TA REALTY,,,,WOLFF,,,,98122,493794.4872,200649,260,5060,0.99999976
266 Lofts Phase 2,"276 South Front Street, Memphis, TN 38103",Memphis,TN,United States,38103,Apartment,,Garden / Low-Rise,Yes,Memphis,Downtown,74,Units,4/22/19,1,13.5,$,"182,432.43",,B-,0.0513,As Reported,No,,No,,,0.94,3,,,2018,,,0.06417993,0.06568609,0.06221949,,,Yes,,,,,,,,,86,1391447,13500000,13500000,142620,Apartment,266 Lofts (Phase II),4/22/19,1,,266 S Front St,ALPHA CAPITAL PARTNERS,,,,VS DEVELOPMENT,ROBERT E MALLORY,,,38103,182432.4324,,74,14865,0.9665399
Ivy at Clear Creek,"300 Cyberonics Boulevard, Houston, TX 77058",Houston,TX,United States,77058,Apartment,,Garden / Low-Rise,No,Houston,Clear Lake / NASA,244,Units,4/22/19,1,24.25,$,"99,385.25",,B+,0.05887076,Green Street Market Estimate,No,,No,,JLL,9.7746,2,0,20,,,,0.05855573,0.06000304,0.06347906,,,Yes,Western Wealth Capital,,,,,,,,87,105400,24000000,24000000,30959,Apartment,The Ivy at Clear Creek Apartments,4/23/19,1,,300 Cyberonics Blvd,WESTERN WEALTH CAPITAL,,,,EMERGE INVESTMENT,,,,77058,98360.6557,228272,244,2582,0.9298945
Appian Terrace,"4481 Appian Way, El Sobrante, CA 94803",El Sobrante,CA,United States,94803,Apartment,,Garden / Low-Rise,No,Oakland-East Bay,West Contra Costa,39,Units,4/22/19,1,7.21,$,"184,871.79",,B+,0.05294663,Green Street Market Estimate,No,,No,,Transwestern,1.246,2,0,4,,,,0.05655737,0.05732692,0.06324695,,,Yes,,,,,The Daryl C. McCurry Inter Vivos Trust,,,,89,839232,7210000,7210000,103575,Apartment,Appian Terrace,4/22/19,1,,4481 Appian Way,APPIAN MF PARTNERS,,,,DARYL C MCCURRY,,,,94803,184871.7949,23497,39,9465,1.0000005
Lost Lake Apartments,"8681 A C Skinner Parkway, Jacksonville, FL 32256",Jacksonville,FL,United States,32256,Apartment,,,No,Jacksonville,Southside,280,Units,4/22/19,1,48.5,$,"173,214.29",,B+,0.05799178,Annualized,No,,No,,HFF,,,0,,2014,,0.94,0.059236,0.05807323,0.05609656,,,Yes,Becovic Management Group,,,,Inland Real Estate Group,,,,90,1390256,48500000,48500000,142416,Apartment,Lost Lake Apartments,4/12/19,1,,8681 AC Skinner Pkwy,BECOVIC MANAGEMENT GROUP,,,,INLAND REAL ESTATE GROUP,,,,32256,173214.2857,,280,14676,1.0000001
Legend Park,"305 Cambia Drive, Schaumburg, IL 60193",Schaumburg,IL,United States,60193,Apartment,,Garden / Low-Rise,No,Chicago,Barrington / Schaumburg,367,Units,4/22/19,1,47.83,$,"130,313.35",,B+,0.06251722,Trailing 12 months,No,,No,,Marcus & Millichap IPA,23.3152,3,0,1,1973,2000,0.95,0.06305658,0.06304658,0.06514631,,,Yes,Pensam Residential,,,,Legend Group,,,,91,120050,47825000,47825000,35328,Apartment,Legend Park,4/11/19,1,,305 Cambia Dr,PENSAM CAPITAL,,,,LEGEND GROUP,,,,60193,130313.3515,299050,367,2914,1.0000005
Marshall,"1101 West C Street, Lincoln, NE 68522",Lincoln,NE,United States,68522,Apartment,,Garden / Low-Rise,No,Lincoln,,72,Units,4/19/19,1,6.9,$,"95,833.33",,,,,No,,No,,,10.6743113,3,,,,,,,,,,,Yes,,,,,,,,,92,19937,6900000,6900000,5398,Apartment,Marshall,4/30/19,1,,1100-1121 W C St,DILLON PROPERTIES 2,,,,METONIC REAL ESTATE SERVICES,,,,68522,95833.3333,94027,72,415,1.0000004
Daisy,"122 South Ohio Street, Anaheim, CA 92805",Anaheim,CA,United States,92805,Apartment,,Garden / Low-Rise,No,Orange County,Anaheim,20,Units,4/19/19,1,6.48,$,"323,750.00",,B+,0.04,As Reported,No,,No,,Marcus & Millichap IPA,,2,0,,,,,0.05596115,0.06051282,0.0595502,,,Yes,,,,,,,,,93,657571,6475000,6475000,93861,Apartment,Daisy,4/19/19,1,,122 S Ohio St,AUSPICIOUS PROPERTIES,,,,CURTIS GRIEDER,,,,92805,323750,18204,20,8348,1.0000004
Paradise Square,"4801 Harrison Drive, Las Vegas, NV 89121",Las Vegas,NV,United States,89121,Apartment,,Garden / Low-Rise,No,Las Vegas,East,146,Units,4/19/19,1,14.2,$,"97,260.27",,B,0.05156148,Trailing 12 months,No,,No,,Berkadia,5.62,2,0,2,1980,,0.99,0.05474907,0.05898376,0.05944394,,,Yes,,,,,,,,,95,162313,14200000,14200000,47752,Apartment,Paradise Square,4/19/19,1,,4801 Harrison Dr,UTAH SELECT REALTY,,,,STRATEGIC REALTY CAPITAL,,,,89121,97260.274,96970,146,3985,1
