Portfolio / Property Name,Street Address,City,State,Country,Zip Code,Sector,Subsector,Sector Attribute,Part of Mixed Use Development,Market,Submarket,Size,Size Type,Sale Date,Stake Sold,Local Currency Sale Price (M),Local Currency Symbol,Sale Price Per (in Local Currency),Selected Currency Sale Price ($) (M),Submarket Grade,Property Cap Rate,Property Cap Rate Type,Part of a Portfolio?,Buyer Objective,To be demolished,Buyer Broker,Seller Broker,Land Area (acres),Stories,Parking,Buildings,Year Built,Year Renovated,Occupancy,Green Street Market Cap Rate,Submarket Cap Rate,Zip Code Cap Rate,Lender,1st Mortgage,Verified?,Buyer_1,Buyer_2,Buyer_3,Buyer_4,Seller_1,Seller_2,Seller_3,Seller_4,id_lt_x,propertykey_id,statuspriceadjustedusd_amt_cpiNOTadj,price_cpiNOTadj,propertykey_id_typeadj,propertytype_adj,propertyname_raw,status_dt,intconveyed_nb,intconveyed,address,buyername1,buyername2,buyername3,buyername4,sellername1,sellername2,sellername3,sellername4,zip_cd,psf/ppu,sqft_nb_OG,units_OG,id_lt_y,score
Harper,"4690 South Lakeshore Drive, Tempe, AZ 85283",Tempe,AZ,United States,85283,Apartment,,Garden / Low-Rise,No,Phoenix,South Tempe,367,Units,5/17/19,1,93.8,$,"255,585.83",,A-,0.04553496,Green Street Market Estimate,No,,No,,Marcus & Millichap IPA,,3,0,,,,,0.05236236,0.05095673,0.0535809,,,Yes,Praedium Group,,,,JLB Partners,,,,1814,1156048,93800000,93800000,112855,Apartment,The Harper,5/17/19,1,,4690 S Lakeshore Dr,PRAEDIUM GROUP,,,,JLB PARTNERS,,,,85282,255585.8311,300000,367,10826,0.92685044
Collings at the Lumberyard,"595 North Atlantic Avenue, Collingswood, NJ 08108",Collingswood,NJ,United States,8108,Apartment,,Mid-Rise,No,Philadelphia,Camden County,104,Units,5/17/19,1,32.5,$,"312,500.00",,B+,0.05179637,Green Street Market Estimate,No,,No,,CBRE Group,,4,0,,2011,,0.95,0.06024906,0.0624065,0.05823394,,,Yes,Merion Realty Partners,,,,,,,,1815,1154190,33670000,33670000,112515,Apartment,The Collings At The Lumberyard,5/7/19,1,,595 N Atlantic Ave,MERION REALTY PARTNERS,,,,INGERMAN GROUP,,,,8108,323750,114608,104,10792,0.97020954
Park Thirty99,"3099 Kirklevington Drive, Lexington, KY 40517",Lexington,KY,United States,40517,Apartment,,,No,Lexington,,174,Units,5/15/19,1,13.15,$,"75,574.71",,,,,No,,No,,,11.05,,0,,1977,2017,,,,,,,Yes,,,,,,,,,1818,1158477,13150000,13150000,113330,Apartment,Park Thirty99,5/14/19,1,,3099 Kirklevington Dr,LEXINGTON 101 KY,,,,APOLLO PROPERTIES MANAGEMENT,,,,40517,75574.7126,147984,174,10869,0.9999994
Northwood Place,"3401 Shawnee Drive, Modesto, CA 95350",Modesto,CA,United States,95350,Apartment,,Garden / Low-Rise,No,Modesto,,53,Units,5/15/19,1,7.26,$,"137,000.00",,,0.047,As Reported,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,,2,0,,,,,,,,,,Yes,,,,,,,,,1822,130721,7261000,7261000,38389,Apartment,Northwood Place,5/15/19,1,,3401 Shawnee Dr,BRETT FUGMAN,,,,WAUGAMAN PROPERTIES,,,,95350,137000,42453,53,3169,0.9999994
1670 First Avenue,"1670 1st Avenue, New York, NY 10128",New York,NY,United States,10128,Apartment,,Mid-Rise,No,New York,Upper East Side,7,Units,5/15/19,1,6.4,$,"914,285.71",,A+,0.03255926,Green Street Market Estimate,No,,No,Marcus & Millichap IPA,Marcus & Millichap IPA,,4,0,,1920,,,0.05266024,0.04899053,0.04774965,,,Yes,,,,,,,,,1823,1407315,6400000,6400000,143776,Retail,1670 1st Avenue,5/15/19,1,,1670 1st Ave,ARYEH REALTY,,,,HERBERT J GLASER,,,,10128,1066.6667,6000,,15940,0.96917397
Colonial Parc,"5813 Baseline Road, Little Rock, AR 72209",Little Rock,AR,United States,72209,Apartment,,Garden / Low-Rise,No,Little Rock,,258,Units,5/15/19,1,11.5,$,"44,573.64",,,,,No,,No,,Berkadia,,2,0,,,,,,,,,,Yes,,,,,,,,,1826,181344,11500000,11500000,53554,Apartment,Colonial Parc,5/14/19,1,,5813 Baseline Rd,AMG REALTY GROUP,,,,THE OVERLAND GROUP,,,,72209,34954.4073,329664,329,4506,1.0000002
380 Harding,"380 Harding Place, Nashville, TN 37211",Nashville,TN,United States,37211,Apartment,,Garden / Low-Rise,No,Nashville,Antioch,322,Units,5/15/19,1,13.85,$,"43,012.42",,B+,0.05,As Reported,No,,No,,CBRE Group,10.16,2,0,10,,,0.92,0.05232624,0.05792742,0.05620045,,,Yes,JEM Holdings,,,,,,,,1827,139470,13850000,13850000,40972,Apartment,380 Harding,5/14/19,1,,380 Harding Pl,JEM HOLDING,,,,PACIFIC EQUITIES CAPITAL MANAGEMENT,,,,37211,86562.5,141464,160,3391,1.0000002
Verde Dimora,"2217 North Power Road, Mesa, AZ 85207",Mesa,AZ,United States,85207,Apartment,,Garden / Low-Rise,No,Phoenix,East Mesa,153,Units,5/15/19,1,27,$,"176,470.59",,B+,0.04191499,Green Street Market Estimate,No,,No,,Marcus & Millichap IPA,5,3,0,5,,,,0.05236236,0.05228441,0.05025833,,,Yes,CVG Properties,,,,Western Wealth Capital,,,,1828,1289322,27000000,27000000,131445,Apartment,Verde Dimora,5/3/19,1,,2217 N Power Rd,CVG PROPERTIES,,,,WESTERN WEALTH CAPITAL,,,,85207,176470.5882,121399,153,12564,0.99999976
University Park,"9201 Nelson Park Circle, Orlando, FL 32817",Orlando,FL,United States,32817,Apartment,,Garden / Low-Rise,No,Orlando,Northeast,356,Units,5/15/19,1,63.25,$,"177,668.54",,B+,0.05250437,Green Street Market Estimate,No,,No,,Newmark Group,17.7385,2,0,26,,,,0.05617618,0.05689134,0.0576543,,,Yes,,,,,Venterra Realty,,,,1829,132016,67357859,67357859,38765,Office,University Park,6/4/19,1,,3452 Lake Lynda Dr,IP CAPITAL PARTNERS,,,,CROCKER PARTNERS,,,,32817,173.2175,388863,,3196,0.9999999
Spring Forest,"5014 Sedgewick Drive, Raleigh, NC 27616",Raleigh,NC,United States,27616,Apartment,,Garden / Low-Rise,No,Raleigh-Durham,Northeast Raleigh,404,Units,5/15/19,1,46.85,$,"115,965.35",,B+,0.05173591,Trailing 12 months,No,,No,,HFF,42.41,3,0,45,1978,2018,0.87,0.05450059,0.05664436,0.05963252,,,Yes,Bridge Investment Group,,,,Carroll Organization, PGIM Real Estate,,,1833,167425,46850000,46850000,49333,Apartment,Spring Forest,5/15/19,1,,5014 Sedgewick Dr,BRIDGE INVESTMENT GROUP,,,,CARROLL ORGANIZATION,PGIM REAL ESTATE,,,27616,115965.3465,454156,404,4132,0.99999976
