,Unnamed: 0.1,Unnamed: 0,Portfolio / Property Name,Street Address,City,State,Country,Zip Code,Sector,Subsector,Sector Attribute,Part of Mixed Use Development,Market,Submarket,Size,Size Type,Sale Date,Stake Sold,Local Currency Sale Price (M),Local Currency Symbol,Sale Price Per (in Local Currency),Selected Currency Sale Price ($) (M),Submarket Grade,Property Cap Rate,Property Cap Rate Type,Part of a Portfolio?,Buyer Objective,To be demolished,Buyer Broker,Seller Broker,Land Area (acres),Stories,Parking,Buildings,Year Built,Year Renovated,Occupancy,Green Street Market Cap Rate,Submarket Cap Rate,Zip Code Cap Rate,Lender,1st Mortgage,Verified?,Buyer_1,Buyer_2,Buyer_3,Buyer_4,Seller_1,Seller_2,Seller_3,Seller_4,id_lt_x,propertykey_id,statuspriceadjustedusd_amt_cpiNOTadj,price_cpiNOTadj,propertykey_id_typeadj,propertytype_adj,propertyname_raw,status_dt,intconveyed_nb,intconveyed,address,buyername1,buyername2,buyername3,buyername4,sellername1,sellername2,sellername3,sellername4,zip_cd,psf/ppu,sqft_nb_OG,units_OG,id_lt_y,score
3594,3594,369,460 West 34th Street,"460 West 34th Street, New York, NY 10001",New York,NY,United States,10001.0,Office,CBD Office,,No,New York,Penn Plaza / Far West Side / Times Sq. South,638000.0,SF,2019-05-01,1.0,440.0,$,689.66,,A,0.04800441,Green Street Market Estimate,No,,No,,,,,0.0,,,,,0.0995,0.09617848,0.09688112,,,Yes,SL Green Realty Corp.,,,,Kaufman Organization,,,,6088,158844,291720000.0,440000000.0,46665,Office,460 West 34th Street,2019-05-10,0.663,,410 10th Ave,SL GREEN,,,,KAUFMAN ORGANIZATION,,,,10024.0,840.8982,523250.0,,3879,1.0000001
3595,3595,371,Spring Forest Business Center,"3100 Spring Forest Road, Raleigh, NC 27616",Raleigh,NC,United States,27616.0,Office,,,Yes,Raleigh-Durham,Northeast Wake County,156000.0,SF,2019-05-01,1.0,22.25,$,142.63,,B+,0.07701936,Green Street Market Estimate,No,,No,,HFF,9.16,,0.0,2.0,,,,0.1065,0.10932358,0.11642037,,,Yes,Founders Properties,,,,Stoltz Real Estate Partners,,,,6090,121733,22250000.0,22250000.0,35827,Industrial,Spring Forest Business Center,2019-05-01,1.0,,3100 Spring Forest Rd,FOUNDERS PROPERTIES,,,,STOLTZ REAL ESTATE PARTNERS,,,,27616.0,142.5953,156036.0,,2961,0.9999999
3596,3596,373,Park Abbey,"4600 Park Road, Charlotte, NC 28209",Charlotte,NC,United States,28209.0,Office,,,No,Charlotte,Park Road,111000.0,SF,2019-05-01,1.0,19.5,$,175.68,,A-,0.05437031,Trailing 12 months,No,,No,,HFF,,,0.0,,1969.0,2013.0,0.96,0.107,0.09935515,0.09515477,,,Yes,Foundry Commercial,,,,Dilweg Cos.,,,,6092,158929,19500000.0,19500000.0,46686,Office,Park Abbey,2019-05-01,1.0,,4600 Park Rd,FOUNDRY COMMERCIAL,,,,DILWEG,,,,28209.0,174.9883,111436.0,,3881,1.0000004
3597,3597,374,62-66 Windward Avenue,"62 Windward Avenue, Los Angeles, CA 90291",Los Angeles,CA,United States,90291.0,Office,,,No,Los Angeles,Playa Vista / Venice,6000.0,SF,2019-05-01,1.0,7.15,$,"1,191.67",,A+,,,No,,No,,Madison Partners,,,0.0,,,,,0.1015,0.09200167,0.09118188,,,Yes,BrandView Capital Partners,,,,Optimus Properties,,,,6093,1331362,7137500.0,7137500.0,135995,Retail,62 Windward Avenue,2019-05-02,1.0,,62 Windward Ave,BRANDVIEW CAPITAL PARTNERS WINDWARD PROPERTIES 44,,,,OPTIMUS PROPERTIES,,,,90291.0,926.9481,7700.0,,13094,0.94062334
3598,3598,375,2381 Rosegate,"2381 Rosegate, Roseville, MN 55113",Roseville,MN,United States,55113.0,Office,,,No,Minneapolis,Northeast,49000.0,SF,2019-05-01,1.0,6.65,$,135.71,,C+,0.07280157,Green Street Market Estimate,No,,No,,Colliers,4.52,,0.0,1.0,,,,0.1145,0.11958449,0.11435245,,,Yes,Hawkins Inc.,,,,H B Tempe LLC,,,,6094,97273,6650000.0,6650000.0,28504,Office,2381 Rosegate,2019-05-01,1.0,,2381 Rosegate,HAWKINS,,,,BRECKNER RIVER DEVELOPMENT,,,,55113.0,134.4331,49467.0,,2378,1.0000001
3599,3599,376,Houston Building,"9015 Mountain Ridge Drive, Austin, TX 78759",Austin,TX,United States,78759.0,Office,,,No,Austin,Northwest,34000.0,SF,2019-05-01,1.0,9.05,$,266.18,,A+,0.05846946,Green Street Market Estimate,No,,No,CBRE Group,,2.843,,0.0,1.0,,,,0.101,0.0957913,0.09621518,,,Yes,Glen Una Management,,,,"Long View Equity, LLC",,,,6095,225013,9220000.0,9220000.0,66692,Office,Houston Building,2019-05-01,1.0,,9015 Mountain Ridge Dr,GLEN UNA PROPERTIES,,,,LONG VIEW EQUITY PARTNERS,,,,78759.0,267.7742,34432.0,,5626,0.9999999
3600,3600,380,American Plaza 1,"77 West 200 South, Salt Lake City, UT 84101",Salt Lake City,UT,United States,84101.0,Office,,,No,Salt Lake City,,63000.0,SF,2019-04-30,1.0,9.65,$,153.17,,,0.07950968,Green Street Market Estimate,No,,No,,Cushman & Wakefield,,,0.0,,,,,0.114,,0.11361018,,,Yes,,,,,,,,,6099,208509,9650000.0,9650000.0,61612,Office,American Plaza I,2019-04-29,1.0,,77 W 200th St S,FORTRESS,,,,BH PROPERTIES,,,,84101.0,142.7473,67602.0,,5210,0.92735624
3601,3601,384,Prestonwood Creek,"5485 Belt Line Road, Dallas, TX 75254",Dallas,TX,United States,75254.0,Office,,,No,Dallas / Fort Worth,Preston Center,134000.0,SF,2019-04-30,1.0,26.35,$,196.64,,A+,0.07227475,Green Street Market Estimate,No,,No,,HFF,,,0.0,,,,,0.112,0.10137452,0.11467853,,,Yes,,,,,Auburndale Properties,,,,6103,176027,26272440.0,26272440.0,51838,Office,Prestonwood Creek,2019-04-30,1.0,,5485 Belt Line Rd,C AND T PRESTONWOOD CREEK JV,,,,AUBURNDALE PROPERTIES,,,,75248.0,196.65,133600.0,,4342,1.0000002
3602,3602,385,Concourse Center,"3501 East Frontage Road, Tampa, FL 33607",Tampa,FL,United States,33607.0,Office,,,No,Tampa-St. Petersburg,Westshore,294621.0,SF,2019-04-30,1.0,53.31,$,180.95,,B+,0.08122716,Green Street Market Estimate,No,,No,,Cushman & Wakefield,,,0.0,,1984.0,,,0.1165,0.11999379,0.11999379,,,Yes,Dilweg Cos.,,,,DRA Advisors,,,,6104,133612,53313000.0,53313000.0,39254,Office,Concourse Center,2019-04-30,1.0,,3507 Frontage Rd,DILWEG,,,,DRA ADVISORS,,,,33607.0,181.1094,294369.0,30.0,3231,1.0000002
3603,3603,392,Felt Buildig,"341 South Main Street, Salt Lake City, UT 84111",Salt Lake City,UT,United States,84111.0,Office,,,No,Salt Lake City,CBD,55000.0,SF,2019-04-30,1.0,,,,,A-,,,Yes,,No,,Newmark Group,,,0.0,,,,,0.114,0.11526687,0.11722293,,,Yes,Fortress Investment Group,,,,Mountain Classic Real Estate,,,,6111,1201024,20000000.0,20000000.0,119124,Office,Felt Building,2019-04-30,1.0,,341 S Main St,FORTRESS,,,,PHIPPS FAMILIES,,,,84111.0,346.8308,57665.0,,11372,0.8503235
3604,3604,393,Clift Building,"10 Broadway, Salt Lake City, UT 84101",Salt Lake City,UT,United States,84101.0,Office,,,No,Salt Lake City,CBD,105000.0,SF,2019-04-30,1.0,,,,,A-,,,Yes,,No,,Newmark Group,,,0.0,,,,,0.114,0.11526687,0.11361018,,,Yes,Fortress Investment Group,,,,Mountain Classic Real Estate,,,,6112,1220020,20000000.0,20000000.0,122250,Office,Clift Building,2019-04-30,1.0,,10 W Broadway,FORTRESS,,,,PHIPPS FAMILIES,,,,84101.0,164.1618,121831.0,,11661,1.0000008
